freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.447e+02,2.200e+01,2.257e+01,6.893e+02
1.5,3.722e+02,4.416e+01,4.502e+01,4.614e+02
3.1,4.002e+01,3.900e+01,4.222e+01,1.212e+02
4.6,3.408e+02,4.277e+01,4.035e+01,4.239e+02
6.2,1.185e+03,4.406e+01,4.323e+01,1.272e+03
7.7,2.015e+03,4.314e+01,4.050e+01,2.099e+03
9.3,3.058e+03,7.093e+01,4.305e+01,3.172e+03
10.8,3.961e+03,1.228e+02,4.291e+01,4.127e+03
12.4,4.017e+03,1.044e+02,4.404e+01,4.165e+03
13.9,4.490e+03,5.745e+01,4.542e+01,4.593e+03
15.4,5.997e+03,4.532e+01,4.702e+01,6.089e+03
17.0,7.793e+03,4.511e+01,4.325e+01,7.881e+03
18.5,9.803e+03,4.999e+01,4.277e+01,9.896e+03
20.1,1.194e+04,5.027e+01,4.504e+01,1.203e+04
21.6,1.433e+04,4.709e+01,4.341e+01,1.442e+04
23.2,1.726e+04,4.706e+01,4.656e+01,1.735e+04
24.7,2.017e+04,5.820e+01,5.241e+01,2.028e+04
26.2,2.340e+04,6.487e+01,5.959e+01,2.353e+04
27.8,2.752e+04,5.904e+01,5.753e+01,2.763e+04
29.3,3.203e+04,6.061e+01,5.194e+01,3.214e+04
30.9,3.744e+04,6.281e+01,5.290e+01,3.756e+04
32.4,4.387e+04,6.839e+01,5.659e+01,4.399e+04
34.0,5.100e+04,6.401e+01,5.731e+01,5.112e+04
35.5,5.880e+04,5.705e+01,6.298e+01,5.892e+04
37.1,6.922e+04,9.497e+01,9.662e+01,6.941e+04
38.6,8.235e+04,2.236e+02,1.567e+02,8.274e+04
40.1,9.769e+04,5.673e+02,2.759e+02,9.853e+04
41.7,1.214e+05,1.610e+03,5.706e+02,1.235e+05
43.2,1.468e+05,3.494e+03,9.640e+02,1.513e+05
44.8,1.737e+05,5.065e+03,1.136e+03,1.799e+05
46.3,2.136e+05,6.552e+03,1.138e+03,2.213e+05
47.9,2.680e+05,8.384e+03,1.035e+03,2.774e+05
49.4,3.216e+05,7.862e+03,8.200e+02,3.303e+05
50.9,3.817e+05,4.722e+03,6.277e+02,3.870e+05
52.5,4.798e+05,3.347e+03,6.756e+02,4.838e+05
54.0,5.969e+05,2.524e+03,1.003e+03,6.004e+05
55.6,7.624e+05,2.134e+03,1.224e+03,7.658e+05
57.1,9.565e+05,1.452e+03,1.662e+03,9.596e+05
58.7,1.225e+06,9.689e+02,3.333e+03,1.230e+06
60.2,1.634e+06,1.307e+03,6.241e+03,1.642e+06
61.8,2.210e+06,3.115e+03,9.996e+03,2.223e+06
63.3,2.700e+06,7.257e+03,1.216e+04,2.719e+06
64.8,2.639e+06,1.025e+04,1.080e+04,2.660e+06
66.4,2.029e+06,9.631e+03,5.908e+03,2.044e+06
67.9,1.425e+06,7.795e+03,2.028e+03,1.435e+06
69.5,1.172e+06,7.264e+03,1.329e+03,1.181e+06
71.0,1.007e+06,7.230e+03,1.755e+03,1.016e+06
72.6,8.105e+05,6.434e+03,2.153e+03,8.191e+05
74.1,6.303e+05,5.561e+03,2.698e+03,6.386e+05
75.6,4.910e+05,5.060e+03,3.531e+03,4.996e+05
77.2,3.841e+05,4.986e+03,4.150e+03,3.932e+05
78.7,2.981e+05,5.674e+03,4.979e+03,3.087e+05
80.3,2.407e+05,6.883e+03,5.984e+03,2.536e+05
81.8,1.964e+05,7.918e+03,6.112e+03,2.104e+05
83.4,1.696e+05,8.533e+03,5.942e+03,1.840e+05
84.9,1.585e+05,9.400e+03,6.286e+03,1.742e+05
86.5,1.507e+05,1.048e+04,7.264e+03,1.684e+05
88.0,1.515e+05,1.106e+04,8.249e+03,1.708e+05
89.5,1.575e+05,1.118e+04,9.373e+03,1.781e+05
91.1,1.552e+05,1.007e+04,9.678e+03,1.749e+05
92.6,1.515e+05,9.340e+03,1.091e+04,1.718e+05
94.2,1.453e+05,8.556e+03,1.290e+04,1.667e+05
95.7,1.396e+05,7.232e+03,1.615e+04,1.630e+05
97.3,1.407e+05,6.171e+03,2.204e+04,1.690e+05
98.8,1.484e+05,5.321e+03,2.994e+04,1.837e+05
100.4,1.595e+05,4.859e+03,3.746e+04,2.018e+05
101.9,1.673e+05,5.009e+03,5.080e+04,2.231e+05
103.4,1.685e+05,5.627e+03,7.505e+04,2.492e+05
105.0,1.740e+05,5.436e+03,8.624e+04,2.657e+05
106.5,2.006e+05,4.839e+03,8.597e+04,2.914e+05
108.1,2.347e+05,6.174e+03,8.336e+04,3.242e+05
