freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.550e+01,8.208e+02,7.757e+01,9.138e+02
1.5,2.467e+01,4.969e+02,7.135e+01,5.929e+02
3.1,2.176e+01,4.779e+01,3.468e+01,1.042e+02
4.6,2.135e+01,4.285e+02,4.400e+01,4.938e+02
6.2,2.544e+01,1.553e+03,4.491e+01,1.623e+03
7.7,3.038e+01,1.966e+03,3.915e+01,2.036e+03
9.3,2.879e+01,2.191e+03,4.155e+01,2.262e+03
10.8,2.353e+01,3.206e+03,4.022e+01,3.270e+03
12.3,2.134e+01,4.473e+03,4.063e+01,4.535e+03
13.9,2.470e+01,6.013e+03,4.158e+01,6.079e+03
15.4,2.449e+01,8.060e+03,4.051e+01,8.125e+03
17.0,2.308e+01,1.035e+04,3.732e+01,1.041e+04
18.5,2.309e+01,1.243e+04,3.830e+01,1.250e+04
20.1,2.415e+01,1.564e+04,3.943e+01,1.570e+04
21.6,2.497e+01,1.928e+04,3.674e+01,1.934e+04
23.2,2.838e+01,2.329e+04,3.998e+01,2.336e+04
24.7,2.674e+01,2.883e+04,4.581e+01,2.890e+04
26.2,2.324e+01,3.541e+04,5.467e+01,3.548e+04
27.8,2.751e+01,4.364e+04,8.237e+01,4.375e+04
29.3,3.419e+01,5.513e+04,1.263e+02,5.530e+04
30.9,4.592e+01,7.223e+04,1.673e+02,7.244e+04
32.4,6.237e+01,9.531e+04,2.105e+02,9.559e+04
34.0,6.387e+01,1.166e+05,2.829e+02,1.169e+05
35.5,6.111e+01,1.442e+05,4.333e+02,1.447e+05
37.0,7.912e+01,2.013e+05,5.564e+02,2.019e+05
38.6,1.814e+02,3.139e+05,9.872e+02,3.151e+05
40.1,1.194e+03,7.555e+05,8.240e+03,7.650e+05
41.7,4.785e+03,1.994e+06,3.885e+04,2.037e+06
43.2,8.378e+03,3.050e+06,7.485e+04,3.133e+06
44.8,9.754e+03,3.219e+06,9.598e+04,3.325e+06
46.3,8.587e+03,2.702e+06,9.637e+04,2.807e+06
47.8,6.606e+03,1.943e+06,8.468e+04,2.034e+06
49.4,5.128e+03,1.389e+06,7.501e+04,1.469e+06
50.9,4.856e+03,1.061e+06,7.505e+04,1.141e+06
52.5,5.792e+03,9.036e+05,8.431e+04,9.937e+05
54.0,5.167e+03,7.714e+05,9.688e+04,8.735e+05
55.6,4.953e+03,5.612e+05,1.087e+05,6.748e+05
57.1,6.407e+03,3.171e+05,9.822e+04,4.217e+05
58.7,7.370e+03,1.616e+05,7.354e+04,2.425e+05
60.2,6.763e+03,1.021e+05,5.200e+04,1.609e+05
61.7,6.110e+03,8.258e+04,4.069e+04,1.294e+05
63.3,5.629e+03,7.121e+04,3.431e+04,1.111e+05
64.8,4.662e+03,6.230e+04,2.753e+04,9.449e+04
66.4,3.917e+03,5.702e+04,2.148e+04,8.242e+04
67.9,3.547e+03,5.379e+04,1.633e+04,7.367e+04
69.5,2.859e+03,4.897e+04,1.087e+04,6.270e+04
71.0,2.408e+03,4.452e+04,7.016e+03,5.394e+04
72.5,1.345e+03,3.983e+04,5.374e+03,4.655e+04
74.1,6.421e+02,3.149e+04,4.339e+03,3.647e+04
75.6,5.604e+02,2.304e+04,3.499e+03,2.710e+04
77.2,7.412e+02,1.624e+04,2.604e+03,1.958e+04
78.7,1.066e+03,1.249e+04,2.281e+03,1.584e+04
80.3,3.850e+03,1.357e+04,2.985e+03,2.040e+04
81.8,1.554e+04,1.850e+04,4.375e+03,3.841e+04
83.4,2.990e+04,2.220e+04,5.190e+03,5.730e+04
84.9,3.724e+04,2.337e+04,5.588e+03,6.620e+04
86.4,3.911e+04,2.655e+04,6.493e+03,7.216e+04
88.0,3.715e+04,3.297e+04,8.718e+03,7.884e+04
89.5,3.170e+04,4.010e+04,1.243e+04,8.423e+04
91.1,2.533e+04,4.629e+04,1.701e+04,8.863e+04
92.6,2.019e+04,5.314e+04,2.244e+04,9.577e+04
94.2,1.681e+04,6.020e+04,2.824e+04,1.052e+05
95.7,1.343e+04,6.712e+04,3.668e+04,1.172e+05
97.2,9.823e+03,7.630e+04,5.197e+04,1.381e+05
98.8,8.437e+03,8.826e+04,7.709e+04,1.738e+05
100.3,8.592e+03,9.699e+04,1.014e+05,2.070e+05
101.9,1.104e+04,1.029e+05,1.188e+05,2.328e+05
103.4,1.567e+04,1.103e+05,1.413e+05,2.673e+05
105.0,2.151e+04,1.171e+05,1.687e+05,3.073e+05
106.5,3.070e+04,1.344e+05,2.201e+05,3.852e+05
108.0,4.096e+04,1.496e+05,2.778e+05,4.683e+05
109.6,4.759e+04,1.521e+05,3.160e+05,5.157e+05
