freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.132e+03,2.192e+01,2.261e+01,1.177e+03
1.6,6.646e+02,5.906e+01,1.170e+02,8.407e+02
3.1,6.677e+01,6.010e+01,1.449e+02,2.718e+02
4.7,4.098e+02,6.081e+01,1.481e+02,6.187e+02
6.3,1.264e+03,6.264e+01,1.432e+02,1.469e+03
7.8,2.047e+03,6.356e+01,1.531e+02,2.263e+03
9.4,2.965e+03,6.133e+01,1.635e+02,3.190e+03
11.0,4.239e+03,6.121e+01,1.422e+02,4.442e+03
12.5,5.236e+03,6.239e+01,1.342e+02,5.432e+03
14.1,5.200e+03,6.140e+01,1.296e+02,5.391e+03
15.7,6.412e+03,6.122e+01,1.319e+02,6.605e+03
17.2,8.174e+03,5.809e+01,1.380e+02,8.370e+03
18.8,9.912e+03,6.038e+01,1.545e+02,1.013e+04
20.4,1.201e+04,5.883e+01,1.497e+02,1.222e+04
21.9,1.454e+04,6.697e+01,1.543e+02,1.477e+04
23.5,1.720e+04,7.187e+01,1.565e+02,1.743e+04
25.1,2.040e+04,7.596e+01,1.627e+02,2.064e+04
26.6,2.394e+04,7.723e+01,1.589e+02,2.418e+04
28.2,2.724e+04,7.537e+01,1.616e+02,2.748e+04
29.8,3.054e+04,7.579e+01,1.530e+02,3.077e+04
31.3,3.463e+04,8.532e+01,1.460e+02,3.486e+04
32.9,3.954e+04,9.612e+01,1.266e+02,3.977e+04
34.5,4.506e+04,1.038e+02,1.315e+02,4.530e+04
36.0,5.102e+04,1.170e+02,1.403e+02,5.128e+04
37.6,5.834e+04,1.456e+02,1.359e+02,5.862e+04
39.2,6.508e+04,2.120e+02,1.543e+02,6.545e+04
40.7,7.286e+04,2.903e+02,1.601e+02,7.331e+04
42.3,8.320e+04,3.621e+02,1.493e+02,8.371e+04
43.9,9.311e+04,4.083e+02,1.541e+02,9.367e+04
45.4,1.081e+05,4.892e+02,1.658e+02,1.087e+05
47.0,1.292e+05,6.834e+02,1.637e+02,1.300e+05
48.5,1.500e+05,9.179e+02,1.818e+02,1.511e+05
50.1,1.712e+05,1.318e+03,1.805e+02,1.727e+05
51.7,2.070e+05,2.150e+03,2.100e+02,2.093e+05
53.2,2.515e+05,3.875e+03,3.085e+02,2.557e+05
54.8,2.872e+05,6.281e+03,4.080e+02,2.939e+05
56.4,3.311e+05,8.761e+03,4.234e+02,3.403e+05
57.9,3.803e+05,1.175e+04,4.501e+02,3.924e+05
59.5,4.449e+05,1.633e+04,5.225e+02,4.617e+05
61.1,5.342e+05,1.898e+04,4.683e+02,5.537e+05
62.6,6.566e+05,1.998e+04,3.252e+02,6.769e+05
64.2,7.717e+05,2.077e+04,7.527e+02,7.932e+05
65.8,8.770e+05,1.846e+04,1.981e+03,8.975e+05
67.3,1.061e+06,1.556e+04,2.928e+03,1.080e+06
68.9,1.406e+06,1.409e+04,3.699e+03,1.424e+06
70.5,2.004e+06,1.369e+04,4.142e+03,2.022e+06
72.0,3.141e+06,1.343e+04,4.866e+03,3.159e+06
73.6,4.957e+06,1.836e+04,7.072e+03,4.983e+06
75.2,6.931e+06,3.427e+04,8.408e+03,6.974e+06
76.7,8.103e+06,5.725e+04,8.176e+03,8.168e+06
78.3,7.865e+06,7.464e+04,8.470e+03,7.948e+06
79.9,6.673e+06,7.364e+04,8.068e+03,6.754e+06
81.4,5.498e+06,6.134e+04,5.934e+03,5.565e+06
83.0,4.433e+06,4.180e+04,2.980e+03,4.478e+06
84.6,3.675e+06,2.856e+04,1.412e+03,3.705e+06
86.1,3.041e+06,2.039e+04,1.028e+03,3.062e+06
87.7,2.674e+06,1.394e+04,5.727e+02,2.689e+06
89.3,2.324e+06,7.590e+03,9.631e+02,2.333e+06
90.8,1.984e+06,4.514e+03,3.956e+03,1.992e+06
92.4,1.722e+06,4.115e+03,1.115e+04,1.737e+06
94.0,1.531e+06,6.339e+03,2.400e+04,1.562e+06
95.5,1.340e+06,1.046e+04,4.248e+04,1.393e+06
97.1,1.140e+06,1.399e+04,5.456e+04,1.208e+06
98.7,1.009e+06,1.403e+04,5.168e+04,1.075e+06
100.2,9.518e+05,1.194e+04,4.739e+04,1.011e+06
101.8,8.826e+05,1.186e+04,5.360e+04,9.480e+05
103.4,7.836e+05,1.133e+04,5.478e+04,8.497e+05
104.9,6.467e+05,9.096e+03,4.693e+04,7.027e+05
106.5,5.636e+05,7.304e+03,4.090e+04,6.118e+05
108.1,5.241e+05,6.172e+03,3.707e+04,5.674e+05
109.6,4.897e+05,5.186e+03,3.351e+04,5.284e+05
111.2,4.373e+05,3.829e+03,2.772e+04,4.689e+05
112.8,3.715e+05,2.690e+03,2.162e+04,3.958e+05
114.3,3.093e+05,1.897e+03,1.678e+04,3.280e+05
115.9,2.558e+05,1.431e+03,1.287e+04,2.701e+05
117.5,2.351e+05,1.053e+03,9.452e+03,2.456e+05
119.0,2.416e+05,6.923e+02,7.766e+03,2.501e+05
120.6,2.408e+05,4.547e+02,7.675e+03,2.489e+05
122.2,2.252e+05,3.286e+02,7.387e+03,2.329e+05
123.7,2.005e+05,1.838e+02,7.718e+03,2.084e+05
125.3,1.836e+05,1.828e+02,9.510e+03,1.933e+05
126.9,1.819e+05,2.314e+02,1.105e+04,1.932e+05
128.4,2.104e+05,3.345e+02,1.155e+04,2.223e+05
130.0,2.429e+05,2.649e+02,9.724e+03,2.529e+05
131.6,2.460e+05,1.846e+02,7.347e+03,2.536e+05
133.1,1.439e+05,1.476e+02,3.827e+03,1.478e+05
134.7,2.276e+04,9.253e+01,1.115e+03,2.397e+04
136.2,1.157e+04,9.347e+01,8.868e+02,1.255e+04
137.8,1.170e+04,1.414e+02,8.322e+02,1.267e+04
139.4,1.174e+04,2.089e+02,7.195e+02,1.267e+04
140.9,1.328e+04,2.299e+02,5.093e+02,1.402e+04
142.5,1.517e+04,3.262e+02,6.378e+02,1.613e+04
144.1,1.666e+04,5.569e+02,1.295e+03,1.851e+04
145.6,1.794e+04,9.000e+02,2.408e+03,2.125e+04
147.2,1.948e+04,1.190e+03,3.637e+03,2.431e+04
148.8,2.577e+04,1.556e+03,5.789e+03,3.312e+04
150.3,3.216e+04,1.911e+03,7.968e+03,4.203e+04
151.9,3.111e+04,2.004e+03,8.876e+03,4.199e+04
153.5,3.039e+04,2.380e+03,9.501e+03,4.227e+04
155.0,2.933e+04,2.464e+03,1.085e+04,4.265e+04
156.6,2.820e+04,2.289e+03,1.008e+04,4.057e+04
158.2,2.702e+04,2.057e+03,8.826e+03,3.790e+04
159.7,2.601e+04,2.046e+03,8.112e+03,3.617e+04
161.3,2.425e+04,1.907e+03,8.283e+03,3.444e+04
162.9,2.199e+04,1.710e+03,7.319e+03,3.102e+04
164.4,2.052e+04,1.379e+03,4.917e+03,2.682e+04
166.0,2.034e+04,1.163e+03,3.696e+03,2.520e+04
167.6,2.210e+04,9.269e+02,3.537e+03,2.657e+04
169.1,2.527e+04,1.023e+03,3.905e+03,3.019e+04
170.7,3.153e+04,1.340e+03,3.998e+03,3.687e+04
172.3,4.716e+04,1.750e+03,4.281e+03,5.319e+04
173.8,5.490e+04,2.043e+03,4.593e+03,6.154e+04
175.4,5.419e+04,2.227e+03,4.637e+03,6.105e+04
177.0,5.210e+04,2.231e+03,4.343e+03,5.867e+04
178.5,5.069e+04,2.297e+03,4.306e+03,5.729e+04
180.1,5.077e+04,2.509e+03,4.863e+03,5.815e+04
181.7,5.062e+04,2.646e+03,5.411e+03,5.868e+04
183.2,4.951e+04,2.781e+03,6.085e+03,5.837e+04
184.8,4.620e+04,2.768e+03,6.998e+03,5.597e+04
186.4,4.313e+04,2.697e+03,7.494e+03,5.332e+04
187.9,4.081e+04,2.635e+03,7.386e+03,5.084e+04
189.5,3.909e+04,2.557e+03,6.980e+03,4.863e+04
191.1,3.671e+04,2.446e+03,6.179e+03,4.533e+04
192.6,3.438e+04,2.392e+03,5.178e+03,4.195e+04
194.2,3.215e+04,2.287e+03,4.568e+03,3.901e+04
195.8,2.922e+04,2.108e+03,4.011e+03,3.534e+04
197.3,2.552e+04,2.057e+03,3.075e+03,3.065e+04
198.9,2.470e+04,2.210e+03,2.835e+03,2.974e+04
