freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.114e+01,3.976e+02,6.662e+00,4.154e+02
1.5,2.768e+01,2.697e+02,1.835e+01,3.158e+02
3.0,3.405e+01,9.324e+01,2.108e+01,1.484e+02
4.5,3.430e+01,3.019e+02,2.065e+01,3.568e+02
6.0,3.095e+01,1.143e+03,1.932e+01,1.194e+03
7.4,4.007e+01,1.912e+03,1.972e+01,1.972e+03
8.9,3.999e+01,2.772e+03,2.099e+01,2.833e+03
10.4,4.239e+01,3.979e+03,2.026e+01,4.041e+03
11.9,4.597e+01,5.684e+03,2.385e+01,5.754e+03
13.4,4.391e+01,5.569e+03,3.841e+01,5.652e+03
14.9,4.358e+01,5.606e+03,4.051e+01,5.690e+03
16.4,4.832e+01,7.568e+03,2.527e+01,7.642e+03
17.9,5.505e+01,9.734e+03,2.152e+01,9.811e+03
19.3,6.065e+01,1.176e+04,2.185e+01,1.184e+04
20.8,6.083e+01,1.245e+04,2.276e+01,1.253e+04
22.3,6.619e+01,1.448e+04,2.542e+01,1.457e+04
23.8,7.710e+01,1.745e+04,2.700e+01,1.755e+04
25.3,8.853e+01,2.063e+04,2.879e+01,2.074e+04
26.8,9.574e+01,2.393e+04,3.386e+01,2.406e+04
28.3,1.080e+02,2.746e+04,3.576e+01,2.760e+04
29.8,1.261e+02,3.141e+04,3.353e+01,3.157e+04
31.3,1.659e+02,3.596e+04,3.467e+01,3.616e+04
32.7,2.819e+02,4.070e+04,4.129e+01,4.103e+04
34.2,4.720e+02,4.637e+04,4.132e+01,4.688e+04
35.7,6.767e+02,5.244e+04,3.860e+01,5.316e+04
37.2,8.650e+02,6.048e+04,3.262e+01,6.137e+04
38.7,9.612e+02,6.763e+04,3.632e+01,6.863e+04
40.2,9.230e+02,7.373e+04,4.088e+01,7.470e+04
41.7,9.132e+02,8.451e+04,4.892e+01,8.547e+04
43.2,1.003e+03,9.816e+04,5.493e+01,9.921e+04
44.7,1.122e+03,1.114e+05,5.602e+01,1.126e+05
46.1,1.298e+03,1.224e+05,4.621e+01,1.238e+05
47.6,1.672e+03,1.274e+05,5.198e+01,1.291e+05
49.1,2.315e+03,1.306e+05,6.364e+01,1.330e+05
50.6,3.511e+03,1.365e+05,7.586e+01,1.401e+05
52.1,6.449e+03,1.547e+05,1.939e+02,1.613e+05
53.6,1.129e+04,1.900e+05,4.989e+02,2.018e+05
55.1,1.691e+04,2.287e+05,1.244e+03,2.469e+05
56.6,1.811e+04,2.577e+05,2.567e+03,2.783e+05
58.0,1.611e+04,2.833e+05,3.909e+03,3.033e+05
59.5,1.465e+04,3.349e+05,4.769e+03,3.543e+05
61.0,1.179e+04,4.040e+05,5.018e+03,4.208e+05
62.5,8.018e+03,4.694e+05,4.375e+03,4.818e+05
64.0,4.209e+03,5.155e+05,3.415e+03,5.232e+05
65.5,2.416e+03,5.606e+05,2.737e+03,5.657e+05
67.0,2.805e+03,5.892e+05,2.289e+03,5.943e+05
68.5,6.009e+03,6.090e+05,2.159e+03,6.172e+05
70.0,1.279e+04,7.314e+05,2.637e+03,7.468e+05
71.4,2.133e+04,8.996e+05,4.171e+03,9.251e+05
72.9,2.829e+04,1.061e+06,5.083e+03,1.094e+06
74.4,3.097e+04,1.203e+06,5.366e+03,1.240e+06
