freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.980e+00,1.274e+03,1.136e+02,1.393e+03
1.6,1.610e+01,7.432e+02,7.838e+01,8.377e+02
3.1,1.673e+01,5.360e+01,1.856e+01,8.888e+01
4.7,1.786e+01,4.988e+02,1.930e+01,5.360e+02
6.3,1.747e+01,1.497e+03,2.020e+01,1.535e+03
7.9,1.883e+01,1.780e+03,2.017e+01,1.819e+03
9.4,1.847e+01,2.321e+03,1.975e+01,2.359e+03
11.0,1.744e+01,3.385e+03,2.070e+01,3.423e+03
12.6,1.668e+01,4.631e+03,1.881e+01,4.666e+03
14.1,1.765e+01,6.002e+03,2.021e+01,6.040e+03
15.7,1.936e+01,7.786e+03,2.235e+01,7.828e+03
17.3,1.979e+01,1.006e+04,2.295e+01,1.010e+04
18.9,1.729e+01,1.232e+04,2.534e+01,1.236e+04
20.4,1.806e+01,1.454e+04,2.677e+01,1.459e+04
22.0,1.862e+01,1.718e+04,2.921e+01,1.723e+04
23.6,2.079e+01,2.060e+04,2.918e+01,2.065e+04
25.2,2.343e+01,2.438e+04,4.367e+01,2.445e+04
26.7,2.147e+01,2.903e+04,6.136e+01,2.912e+04
28.3,1.984e+01,3.509e+04,7.812e+01,3.519e+04
29.9,1.887e+01,4.240e+04,9.266e+01,4.251e+04
31.4,1.943e+01,5.246e+04,1.215e+02,5.260e+04
33.0,1.989e+01,6.558e+04,1.904e+02,6.579e+04
34.6,2.139e+01,7.948e+04,3.339e+02,7.983e+04
36.2,2.271e+01,9.389e+04,4.126e+02,9.432e+04
37.7,2.544e+01,1.187e+05,3.821e+02,1.191e+05
39.3,2.707e+01,1.530e+05,4.534e+02,1.535e+05
40.9,2.734e+01,2.066e+05,6.971e+02,2.073e+05
42.4,3.055e+01,2.898e+05,1.245e+03,2.911e+05
44.0,3.832e+01,4.004e+05,2.366e+03,4.028e+05
45.6,5.800e+01,6.002e+05,5.072e+03,6.054e+05
47.2,1.125e+02,1.022e+06,1.334e+04,1.036e+06
48.7,2.136e+02,2.170e+06,4.892e+04,2.219e+06
50.3,4.507e+02,5.111e+06,1.969e+05,5.308e+06
51.9,8.104e+02,7.484e+06,3.946e+05,7.879e+06
53.5,8.520e+02,6.776e+06,4.112e+05,7.188e+06
55.0,7.211e+02,4.883e+06,3.044e+05,5.188e+06
56.6,6.451e+02,3.226e+06,2.025e+05,3.429e+06
58.2,7.527e+02,2.113e+06,1.471e+05,2.261e+06
59.7,8.765e+02,1.577e+06,1.187e+05,1.696e+06
61.3,1.035e+03,1.253e+06,9.395e+04,1.348e+06
62.9,1.373e+03,1.014e+06,8.796e+04,1.104e+06
64.5,1.473e+03,8.454e+05,8.878e+04,9.356e+05
66.0,1.342e+03,7.211e+05,8.678e+04,8.092e+05
67.6,9.770e+02,6.115e+05,8.186e+04,6.943e+05
69.2,7.203e+02,5.494e+05,8.202e+04,6.321e+05
70.7,6.758e+02,5.150e+05,8.524e+04,6.009e+05
72.3,6.826e+02,4.962e+05,8.761e+04,5.845e+05
73.9,6.149e+02,4.868e+05,8.921e+04,5.767e+05
75.5,4.797e+02,4.821e+05,9.372e+04,5.763e+05
77.0,5.145e+02,4.905e+05,1.047e+05,5.957e+05
78.6,5.764e+02,4.959e+05,1.158e+05,6.123e+05
80.2,5.382e+02,4.841e+05,1.225e+05,6.071e+05
81.8,4.910e+02,4.440e+05,1.155e+05,5.601e+05
83.3,4.936e+02,3.608e+05,8.558e+04,4.469e+05
84.9,5.325e+02,2.463e+05,4.794e+04,2.948e+05
86.5,6.187e+02,1.397e+05,3.185e+04,1.722e+05
88.0,9.736e+02,7.005e+04,4.742e+04,1.184e+05
89.6,1.544e+03,4.234e+04,1.023e+05,1.461e+05
91.2,2.210e+03,4.349e+04,1.837e+05,2.294e+05
92.8,3.164e+03,5.524e+04,2.406e+05,2.990e+05
94.3,5.860e+03,6.024e+04,2.426e+05,3.087e+05
95.9,1.091e+04,5.631e+04,2.078e+05,2.751e+05
97.5,1.603e+04,5.520e+04,1.979e+05,2.691e+05
99.0,1.871e+04,5.543e+04,2.069e+05,2.811e+05
100.6,2.120e+04,5.333e+04,2.050e+05,2.795e+05
102.2,1.856e+04,5.212e+04,1.937e+05,2.644e+05
103.8,1.353e+04,4.952e+04,1.911e+05,2.542e+05
105.3,1.160e+04,4.229e+04,1.794e+05,2.332e+05
106.9,9.322e+03,3.638e+04,1.733e+05,2.190e+05
108.5,8.064e+03,3.127e+04,1.641e+05,2.035e+05
110.1,7.474e+03,2.669e+04,1.482e+05,1.823e+05
111.6,4.788e+03,2.271e+04,1.341e+05,1.616e+05
113.2,1.956e+03,1.744e+04,1.212e+05,1.406e+05
114.8,4.079e+03,1.303e+04,1.035e+05,1.207e+05
116.3,1.187e+04,1.095e+04,8.173e+04,1.045e+05
117.9,1.787e+04,1.180e+04,6.303e+04,9.269e+04
119.5,1.791e+04,1.386e+04,5.003e+04,8.180e+04
121.1,1.599e+04,1.567e+04,4.241e+04,7.406e+04
122.6,1.414e+04,1.698e+04,3.718e+04,6.830e+04
124.2,1.184e+04,1.789e+04,3.281e+04,6.253e+04
125.8,9.022e+03,1.858e+04,2.969e+04,5.729e+04
127.3,7.448e+03,1.922e+04,2.675e+04,5.341e+04
128.9,6.355e+03,1.958e+04,2.390e+04,4.984e+04
130.5,5.348e+03,2.041e+04,2.229e+04,4.804e+04
132.1,4.272e+03,1.828e+04,1.810e+04,4.065e+04
133.6,1.295e+03,5.595e+03,5.485e+03,1.238e+04
135.2,1.649e+02,3.929e+02,6.461e+02,1.204e+03
136.8,1.401e+02,2.999e+02,5.436e+02,9.836e+02
138.3,1.384e+02,3.259e+02,5.316e+02,9.959e+02
139.9,1.331e+02,3.475e+02,5.176e+02,9.982e+02
141.5,1.697e+02,3.576e+02,4.769e+02,1.004e+03
143.1,2.137e+02,2.975e+02,4.926e+02,1.004e+03
144.6,2.396e+02,1.913e+02,5.165e+02,9.473e+02
146.2,3.129e+02,1.410e+02,5.277e+02,9.816e+02
147.8,5.124e+02,1.385e+02,5.099e+02,1.161e+03
149.4,1.014e+03,1.502e+02,5.282e+02,1.693e+03
150.9,3.953e+03,2.567e+02,7.015e+02,4.911e+03
152.5,7.650e+03,2.901e+02,2.187e+03,1.013e+04
154.1,7.521e+03,1.719e+02,5.173e+03,1.287e+04
155.6,6.429e+03,1.460e+02,6.986e+03,1.356e+04
157.2,7.419e+03,1.204e+02,7.618e+03,1.516e+04
158.8,7.806e+03,1.131e+02,7.265e+03,1.518e+04
160.4,7.256e+03,1.254e+02,6.334e+03,1.372e+04
161.9,6.361e+03,1.447e+02,5.085e+03,1.159e+04
163.5,4.175e+03,1.327e+02,3.912e+03,8.220e+03
165.1,2.423e+03,1.192e+02,2.660e+03,5.202e+03
166.6,1.683e+03,9.433e+01,1.962e+03,3.740e+03
168.2,1.460e+03,8.619e+01,1.922e+03,3.468e+03
169.8,1.392e+03,1.126e+02,1.966e+03,3.470e+03
171.4,1.427e+03,1.980e+02,1.797e+03,3.422e+03
172.9,1.486e+03,3.176e+02,1.534e+03,3.338e+03
174.5,1.278e+03,3.202e+02,1.386e+03,2.984e+03
176.1,1.284e+03,3.261e+02,1.534e+03,3.144e+03
177.7,1.448e+03,3.468e+02,1.863e+03,3.658e+03
179.2,1.491e+03,3.749e+02,1.971e+03,3.838e+03
180.8,1.415e+03,3.675e+02,1.786e+03,3.569e+03
182.4,1.356e+03,3.662e+02,1.612e+03,3.334e+03
183.9,1.488e+03,3.846e+02,1.515e+03,3.388e+03
185.5,1.545e+03,4.741e+02,1.630e+03,3.649e+03
187.1,1.447e+03,4.906e+02,1.557e+03,3.494e+03
188.7,1.362e+03,5.356e+02,1.588e+03,3.486e+03
190.2,1.209e+03,5.885e+02,1.845e+03,3.643e+03
191.8,1.172e+03,6.384e+02,2.171e+03,3.981e+03
193.4,1.150e+03,6.731e+02,2.412e+03,4.234e+03
194.9,1.041e+03,6.987e+02,2.546e+03,4.285e+03
196.5,9.431e+02,7.033e+02,2.647e+03,4.293e+03
198.1,9.199e+02,7.628e+02,2.856e+03,4.539e+03
199.7,1.010e+03,9.253e+02,3.250e+03,5.186e+03
