freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.652e+00,1.001e+03,9.483e+01,1.102e+03
1.6,1.628e+01,5.898e+02,6.709e+01,6.732e+02
3.1,1.585e+01,5.582e+01,2.119e+01,9.286e+01
4.7,1.856e+01,4.571e+02,2.068e+01,4.963e+02
6.3,1.947e+01,1.590e+03,2.153e+01,1.631e+03
7.9,2.180e+01,2.251e+03,2.080e+01,2.294e+03
9.4,2.418e+01,2.266e+03,2.004e+01,2.310e+03
11.0,2.131e+01,3.170e+03,2.099e+01,3.213e+03
12.6,1.818e+01,4.521e+03,2.137e+01,4.561e+03
14.1,1.779e+01,6.002e+03,2.024e+01,6.040e+03
15.7,1.921e+01,7.826e+03,2.364e+01,7.869e+03
17.3,2.053e+01,1.002e+04,2.618e+01,1.007e+04
18.9,1.896e+01,1.238e+04,2.911e+01,1.243e+04
20.4,1.978e+01,1.471e+04,3.296e+01,1.476e+04
22.0,2.070e+01,1.739e+04,3.019e+01,1.744e+04
23.6,2.324e+01,2.102e+04,3.456e+01,2.108e+04
25.2,2.140e+01,2.538e+04,5.855e+01,2.546e+04
26.7,1.985e+01,2.999e+04,1.000e+02,3.011e+04
28.3,1.945e+01,3.566e+04,1.488e+02,3.583e+04
29.9,1.868e+01,4.255e+04,1.773e+02,4.275e+04
31.4,2.020e+01,5.127e+04,1.570e+02,5.145e+04
33.0,2.077e+01,6.282e+04,1.823e+02,6.303e+04
34.6,2.031e+01,7.540e+04,3.367e+02,7.575e+04
36.2,2.239e+01,8.938e+04,5.356e+02,8.994e+04
37.7,2.495e+01,1.133e+05,5.043e+02,1.138e+05
39.3,2.706e+01,1.466e+05,6.338e+02,1.473e+05
40.9,2.893e+01,1.990e+05,1.187e+03,2.002e+05
42.4,3.394e+01,2.826e+05,2.486e+03,2.851e+05
44.0,4.290e+01,3.894e+05,4.821e+03,3.943e+05
45.6,5.848e+01,5.716e+05,9.171e+03,5.809e+05
47.2,7.822e+01,9.847e+05,2.348e+04,1.008e+06
48.7,2.424e+02,1.935e+06,7.383e+04,2.009e+06
50.3,2.205e+03,3.752e+06,2.167e+05,3.971e+06
51.9,7.734e+03,5.502e+06,3.708e+05,5.881e+06
53.4,1.084e+04,5.677e+06,3.989e+05,6.086e+06
55.0,1.018e+04,4.524e+06,3.370e+05,4.872e+06
56.6,7.315e+03,3.114e+06,2.483e+05,3.369e+06
58.2,4.246e+03,2.021e+06,1.759e+05,2.201e+06
59.7,3.145e+03,1.498e+06,1.343e+05,1.635e+06
61.3,3.065e+03,1.179e+06,9.822e+04,1.280e+06
62.9,2.348e+03,9.324e+05,8.050e+04,1.015e+06
64.5,1.487e+03,7.560e+05,7.158e+04,8.290e+05
66.0,1.079e+03,6.277e+05,6.335e+04,6.921e+05
67.6,7.414e+02,5.209e+05,5.578e+04,5.775e+05
69.2,5.368e+02,4.545e+05,5.192e+04,5.069e+05
70.7,4.107e+02,4.242e+05,5.101e+04,4.756e+05
72.3,4.235e+02,4.036e+05,5.154e+04,4.555e+05
73.9,5.222e+02,3.876e+05,5.337e+04,4.415e+05
75.5,5.353e+02,3.773e+05,5.768e+04,4.355e+05
77.0,4.927e+02,3.746e+05,6.617e+04,4.412e+05
78.6,4.713e+02,3.813e+05,8.073e+04,4.625e+05
80.2,4.525e+02,3.868e+05,9.885e+04,4.861e+05
81.7,4.638e+02,3.794e+05,1.101e+05,4.900e+05
83.3,4.698e+02,3.269e+05,9.846e+04,4.259e+05
84.9,3.211e+02,2.639e+05,6.763e+04,3.319e+05
86.5,1.404e+02,1.926e+05,3.195e+04,2.247e+05
