freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.414e+01,1.134e+03,9.224e+01,1.260e+03
1.6,9.912e+01,7.084e+02,1.157e+02,9.232e+02
3.1,1.466e+02,1.104e+02,9.151e+01,3.485e+02
4.7,1.355e+02,4.784e+02,1.037e+02,7.176e+02
6.2,1.176e+02,1.531e+03,1.012e+02,1.750e+03
7.8,1.184e+02,2.806e+03,8.978e+01,3.014e+03
9.3,1.292e+02,4.323e+03,8.579e+01,4.538e+03
10.9,1.881e+02,3.668e+03,9.807e+01,3.954e+03
12.4,1.765e+02,3.363e+03,8.559e+01,3.625e+03
14.0,1.382e+02,4.732e+03,7.518e+01,4.945e+03
15.5,1.299e+02,6.788e+03,7.287e+01,6.990e+03
17.1,1.221e+02,9.221e+03,7.951e+01,9.423e+03
18.6,1.106e+02,1.197e+04,9.034e+01,1.217e+04
20.2,1.321e+02,1.527e+04,1.035e+02,1.551e+04
21.7,1.297e+02,1.966e+04,1.090e+02,1.990e+04
23.3,1.388e+02,2.537e+04,1.136e+02,2.562e+04
24.8,1.161e+02,3.208e+04,1.224e+02,3.232e+04
26.4,1.078e+02,3.974e+04,1.565e+02,4.000e+04
27.9,1.288e+02,4.581e+04,1.287e+02,4.607e+04
29.5,1.606e+02,5.535e+04,1.631e+02,5.567e+04
31.0,1.815e+02,7.518e+04,2.951e+02,7.566e+04
32.6,2.478e+02,1.047e+05,5.310e+02,1.055e+05
34.1,3.696e+02,1.457e+05,9.604e+02,1.470e+05
35.7,4.482e+02,2.078e+05,1.797e+03,2.100e+05
37.2,6.959e+02,3.312e+05,4.167e+03,3.361e+05
38.8,2.368e+03,6.636e+05,1.443e+04,6.804e+05
40.3,5.953e+03,1.301e+06,3.446e+04,1.342e+06
41.9,1.126e+04,2.246e+06,5.446e+04,2.312e+06
43.4,2.407e+04,3.448e+06,8.214e+04,3.555e+06
45.0,3.794e+04,4.234e+06,1.172e+05,4.389e+06
46.5,4.071e+04,3.978e+06,1.360e+05,4.154e+06
