freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.354e+01,1.034e+03,1.069e+02,1.175e+03
1.5,1.020e+02,6.639e+02,1.359e+02,9.018e+02
3.1,9.871e+01,7.517e+01,8.497e+01,2.589e+02
4.6,1.057e+02,4.329e+02,8.306e+01,6.216e+02
6.2,1.204e+02,1.503e+03,9.615e+01,1.720e+03
7.7,1.511e+02,2.795e+03,9.187e+01,3.038e+03
9.3,2.763e+02,3.843e+03,1.100e+02,4.229e+03
10.8,4.184e+02,3.514e+03,1.100e+02,4.043e+03
12.3,3.359e+02,3.713e+03,1.142e+02,4.163e+03
13.9,1.480e+02,4.727e+03,1.037e+02,4.979e+03
15.4,1.097e+02,6.722e+03,1.084e+02,6.941e+03
17.0,1.382e+02,9.093e+03,1.251e+02,9.356e+03
18.5,1.818e+02,1.144e+04,1.213e+02,1.175e+04
20.1,1.964e+02,1.455e+04,9.524e+01,1.485e+04
21.6,1.933e+02,1.910e+04,8.959e+01,1.938e+04
23.1,1.691e+02,2.462e+04,1.281e+02,2.492e+04
24.7,1.628e+02,3.101e+04,1.675e+02,3.134e+04
26.2,1.502e+02,3.804e+04,1.583e+02,3.834e+04
27.8,1.745e+02,4.414e+04,1.643e+02,4.448e+04
29.3,2.151e+02,5.290e+04,1.845e+02,5.330e+04
30.9,1.939e+02,6.948e+04,2.405e+02,6.991e+04
32.4,2.248e+02,9.519e+04,4.136e+02,9.583e+04
33.9,2.902e+02,1.328e+05,7.250e+02,1.338e+05
35.5,3.375e+02,1.873e+05,1.283e+03,1.889e+05
37.0,5.292e+02,2.880e+05,2.686e+03,2.912e+05
38.6,1.324e+03,5.351e+05,8.605e+03,5.450e+05
40.1,4.029e+03,1.062e+06,2.346e+04,1.089e+06
41.7,8.921e+03,1.857e+06,3.862e+04,1.905e+06
43.2,1.813e+04,3.003e+06,6.346e+04,3.084e+06
44.7,2.955e+04,3.823e+06,9.474e+04,3.947e+06
46.3,3.527e+04,3.713e+06,1.126e+05,3.860e+06
47.8,3.467e+04,3.095e+06,1.144e+05,3.244e+06
49.4,2.964e+04,2.321e+06,1.047e+05,2.456e+06
50.9,2.703e+04,1.760e+06,9.956e+04,1.886e+06
52.5,2.640e+04,1.447e+06,1.017e+05,1.575e+06
54.0,2.823e+04,1.152e+06,1.094e+05,1.289e+06
55.5,3.538e+04,7.310e+05,1.048e+05,8.712e+05
57.1,3.661e+04,3.232e+05,7.738e+04,4.372e+05
58.6,2.885e+04,1.399e+05,5.451e+04,2.233e+05
60.2,2.101e+04,8.807e+04,4.476e+04,1.538e+05
61.7,1.659e+04,6.587e+04,3.694e+04,1.194e+05
63.3,1.765e+04,5.128e+04,2.934e+04,9.827e+04
64.8,2.149e+04,4.058e+04,2.261e+04,8.469e+04
66.3,2.203e+04,3.373e+04,1.834e+04,7.410e+04
67.9,1.806e+04,2.866e+04,1.451e+04,6.123e+04
69.4,1.533e+04,2.462e+04,1.009e+04,5.004e+04
71.0,1.390e+04,2.179e+04,6.174e+03,4.187e+04
72.5,1.267e+04,1.997e+04,3.881e+03,3.652e+04
74.1,1.145e+04,1.980e+04,2.097e+03,3.334e+04
75.6,1.026e+04,2.173e+04,1.078e+03,3.307e+04
77.1,1.006e+04,2.454e+04,1.206e+03,3.581e+04
78.7,1.276e+04,2.987e+04,2.518e+03,4.515e+04
80.2,1.705e+04,3.531e+04,4.669e+03,5.702e+04
81.8,2.235e+04,3.642e+04,6.590e+03,6.536e+04
83.3,2.691e+04,3.618e+04,8.220e+03,7.131e+04
84.9,3.062e+04,3.728e+04,1.055e+04,7.846e+04
86.4,3.369e+04,4.005e+04,1.387e+04,8.761e+04
87.9,3.260e+04,4.365e+04,1.818e+04,9.444e+04
89.5,3.264e+04,5.062e+04,2.497e+04,1.082e+05
91.0,3.198e+04,5.923e+04,3.493e+04,1.261e+05
92.6,3.138e+04,6.919e+04,4.903e+04,1.496e+05
94.1,2.992e+04,7.939e+04,6.747e+04,1.768e+05
95.7,2.646e+04,8.797e+04,8.747e+04,2.019e+05
97.2,2.744e+04,9.950e+04,1.076e+05,2.345e+05
98.7,2.803e+04,1.177e+05,1.423e+05,2.880e+05
100.3,2.579e+04,1.350e+05,1.941e+05,3.550e+05
101.8,2.276e+04,1.353e+05,2.224e+05,3.805e+05
103.4,2.109e+04,1.356e+05,2.574e+05,4.141e+05
104.9,2.034e+04,1.267e+05,2.912e+05,4.382e+05
106.5,1.913e+04,1.159e+05,3.288e+05,4.638e+05
108.0,1.786e+04,1.080e+05,3.838e+05,5.097e+05
109.5,1.881e+04,1.013e+05,4.543e+05,5.744e+05
111.1,2.441e+04,8.739e+04,4.724e+05,5.842e+05
112.6,3.244e+04,7.048e+04,4.203e+05,5.232e+05
114.2,3.322e+04,5.982e+04,3.526e+05,4.456e+05
115.7,3.015e+04,5.309e+04,3.020e+05,3.852e+05
117.3,2.902e+04,4.747e+04,2.582e+05,3.347e+05
118.8,2.976e+04,4.407e+04,2.231e+05,2.970e+05
120.3,2.932e+04,4.223e+04,1.908e+05,2.623e+05
121.9,2.505e+04,3.844e+04,1.584e+05,2.219e+05
123.4,2.028e+04,3.499e+04,1.320e+05,1.872e+05
125.0,1.572e+04,3.244e+04,1.106e+05,1.588e+05
126.5,1.475e+04,3.098e+04,9.619e+04,1.419e+05
128.1,1.492e+04,2.988e+04,8.964e+04,1.344e+05
129.6,1.616e+04,2.940e+04,8.736e+04,1.329e+05
131.1,1.842e+04,2.986e+04,8.388e+04,1.322e+05
132.7,1.970e+04,2.763e+04,6.843e+04,1.158e+05
134.2,1.424e+04,2.445e+04,4.887e+04,8.756e+04
135.8,8.475e+03,2.092e+04,4.073e+04,7.013e+04
137.3,8.725e+03,1.719e+04,3.458e+04,6.049e+04
138.9,8.121e+03,1.663e+04,3.439e+04,5.914e+04
140.4,7.423e+03,1.404e+04,3.014e+04,5.160e+04
141.9,6.557e+03,1.594e+04,3.391e+04,5.641e+04
143.5,8.477e+03,1.419e+04,3.390e+04,5.657e+04
145.0,9.558e+03,1.218e+04,3.411e+04,5.584e+04
146.6,1.077e+04,1.033e+04,3.333e+04,5.443e+04
148.1,1.079e+04,8.919e+03,3.257e+04,5.227e+04
149.7,9.850e+03,9.432e+03,3.478e+04,5.406e+04
151.2,7.315e+03,9.666e+03,3.643e+04,5.341e+04
152.7,6.107e+03,1.050e+04,3.910e+04,5.570e+04
154.3,5.007e+03,1.211e+04,4.182e+04,5.894e+04
155.8,4.641e+03,1.352e+04,4.192e+04,6.008e+04
157.4,6.106e+03,1.558e+04,4.277e+04,6.446e+04
158.9,1.109e+04,1.862e+04,4.526e+04,7.498e+04
160.5,1.161e+04,2.018e+04,4.343e+04,7.521e+04
162.0,1.062e+04,2.210e+04,4.121e+04,7.393e+04
163.5,1.171e+04,2.438e+04,3.773e+04,7.382e+04
165.1,1.458e+04,2.782e+04,3.491e+04,7.731e+04
166.6,1.776e+04,3.380e+04,3.907e+04,9.063e+04
168.2,2.163e+04,4.333e+04,5.654e+04,1.215e+05
169.7,2.135e+04,4.492e+04,7.223e+04,1.385e+05
171.3,1.718e+04,3.507e+04,6.496e+04,1.172e+05
172.8,1.319e+04,2.272e+04,4.761e+04,8.352e+04
174.4,1.103e+04,1.545e+04,3.393e+04,6.041e+04
175.9,1.047e+04,1.184e+04,2.588e+04,4.819e+04
177.4,1.066e+04,1.028e+04,2.114e+04,4.207e+04
179.0,1.145e+04,9.333e+03,1.893e+04,3.972e+04
180.5,1.248e+04,8.739e+03,1.835e+04,3.956e+04
182.1,1.233e+04,7.508e+03,1.558e+04,3.541e+04
183.6,1.146e+04,6.781e+03,1.375e+04,3.199e+04
185.2,1.120e+04,6.643e+03,1.301e+04,3.085e+04
186.7,1.171e+04,6.507e+03,1.287e+04,3.108e+04
188.2,1.027e+04,6.194e+03,1.293e+04,2.940e+04
189.8,1.062e+04,6.596e+03,1.341e+04,3.063e+04
191.3,1.160e+04,6.499e+03,1.440e+04,3.250e+04
192.9,1.145e+04,6.549e+03,1.491e+04,3.291e+04
194.4,1.056e+04,6.814e+03,1.590e+04,3.328e+04
196.0,1.061e+04,7.307e+03,1.744e+04,3.536e+04
197.5,1.121e+04,7.564e+03,1.729e+04,3.606e+04
199.0,1.140e+04,8.354e+03,1.844e+04,3.820e+04
