freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.690e+02,2.146e+01,1.573e+01,5.062e+02
1.5,2.806e+02,4.307e+01,5.108e+01,3.748e+02
3.1,3.155e+01,3.914e+01,6.405e+01,1.347e+02
4.6,3.480e+02,3.911e+01,6.058e+01,4.477e+02
6.2,1.280e+03,4.081e+01,5.849e+01,1.379e+03
7.7,2.012e+03,4.605e+01,5.674e+01,2.115e+03
9.3,2.355e+03,4.629e+01,6.044e+01,2.461e+03
10.8,3.117e+03,4.608e+01,6.059e+01,3.223e+03
12.3,4.262e+03,4.642e+01,5.457e+01,4.363e+03
13.9,5.544e+03,4.586e+01,6.403e+01,5.654e+03
15.4,7.046e+03,4.730e+01,6.347e+01,7.157e+03
17.0,8.689e+03,4.725e+01,5.823e+01,8.794e+03
18.5,1.044e+04,4.836e+01,5.823e+01,1.055e+04
20.1,1.250e+04,4.194e+01,5.569e+01,1.260e+04
21.6,1.503e+04,4.385e+01,6.002e+01,1.514e+04
23.1,1.762e+04,4.593e+01,5.702e+01,1.772e+04
24.7,1.999e+04,4.968e+01,5.596e+01,2.009e+04
26.2,2.251e+04,4.641e+01,6.189e+01,2.262e+04
27.8,2.550e+04,4.564e+01,6.036e+01,2.560e+04
29.3,2.922e+04,4.688e+01,5.739e+01,2.932e+04
30.9,3.382e+04,4.543e+01,5.265e+01,3.392e+04
32.4,3.907e+04,4.636e+01,5.998e+01,3.917e+04
33.9,4.510e+04,5.042e+01,6.396e+01,4.522e+04
35.5,5.179e+04,6.097e+01,6.582e+01,5.192e+04
37.0,6.099e+04,6.533e+01,7.595e+01,6.113e+04
38.6,7.161e+04,6.130e+01,8.029e+01,7.176e+04
40.1,8.425e+04,7.591e+01,8.167e+01,8.441e+04
41.7,1.054e+05,1.516e+02,8.583e+01,1.057e+05
43.2,1.277e+05,2.827e+02,8.411e+01,1.280e+05
44.8,1.499e+05,3.744e+02,7.713e+01,1.503e+05
46.3,1.852e+05,2.999e+02,6.433e+01,1.856e+05
47.8,2.301e+05,1.748e+02,7.954e+01,2.303e+05
49.4,2.838e+05,1.908e+02,1.873e+02,2.842e+05
50.9,3.642e+05,2.173e+02,3.539e+02,3.648e+05
52.5,4.829e+05,4.517e+02,5.988e+02,4.840e+05
54.0,5.976e+05,3.696e+03,1.820e+03,6.031e+05
55.6,7.046e+05,1.523e+04,4.770e+03,7.246e+05
57.1,8.471e+05,2.996e+04,7.432e+03,8.845e+05
58.6,1.104e+06,3.854e+04,9.378e+03,1.152e+06
60.2,1.426e+06,4.823e+04,1.300e+04,1.487e+06
61.7,1.707e+06,6.210e+04,1.892e+04,1.788e+06
63.3,1.771e+06,6.944e+04,2.307e+04,1.863e+06
64.8,1.604e+06,6.713e+04,2.320e+04,1.694e+06
66.4,1.321e+06,5.298e+04,1.813e+04,1.392e+06
67.9,1.007e+06,3.132e+04,1.034e+04,1.049e+06
69.4,8.175e+05,1.770e+04,5.198e+03,8.404e+05
71.0,7.204e+05,8.527e+03,2.064e+03,7.310e+05
72.5,6.469e+05,2.522e+03,1.175e+03,6.506e+05
74.1,5.810e+05,7.871e+02,1.675e+03,5.835e+05
75.6,5.268e+05,1.033e+03,2.911e+03,5.307e+05
77.2,4.822e+05,1.957e+03,4.187e+03,4.883e+05
78.7,4.317e+05,2.607e+03,4.909e+03,4.392e+05
80.2,3.896e+05,2.546e+03,4.680e+03,3.968e+05
81.8,3.635e+05,2.437e+03,4.078e+03,3.700e+05
83.3,3.412e+05,2.662e+03,3.672e+03,3.475e+05
84.9,3.225e+05,2.998e+03,3.275e+03,3.288e+05
86.4,3.026e+05,3.286e+03,3.262e+03,3.091e+05
88.0,2.857e+05,3.423e+03,3.481e+03,2.926e+05
89.5,2.700e+05,3.702e+03,3.921e+03,2.776e+05
91.0,2.511e+05,4.196e+03,4.724e+03,2.601e+05
92.6,2.338e+05,5.735e+03,6.709e+03,2.462e+05
94.1,2.206e+05,8.510e+03,1.070e+04,2.399e+05
95.7,2.047e+05,1.097e+04,1.454e+04,2.302e+05
97.2,1.940e+05,1.249e+04,1.635e+04,2.228e+05
98.8,1.794e+05,1.293e+04,1.697e+04,2.093e+05
100.3,1.620e+05,1.323e+04,1.871e+04,1.940e+05
101.8,1.411e+05,1.257e+04,1.944e+04,1.732e+05
103.4,1.169e+05,1.057e+04,1.888e+04,1.463e+05
104.9,9.191e+04,9.071e+03,2.099e+04,1.220e+05
106.5,7.439e+04,8.762e+03,2.589e+04,1.090e+05
108.0,6.262e+04,8.539e+03,3.130e+04,1.025e+05
109.6,5.379e+04,7.432e+03,3.145e+04,9.268e+04
111.1,4.935e+04,6.602e+03,2.907e+04,8.502e+04
112.7,4.844e+04,6.605e+03,2.744e+04,8.249e+04
114.2,5.122e+04,7.759e+03,2.619e+04,8.516e+04
115.7,5.515e+04,9.756e+03,2.622e+04,9.113e+04
117.3,6.149e+04,1.115e+04,2.531e+04,9.794e+04
118.8,6.684e+04,1.357e+04,2.781e+04,1.082e+05
120.4,7.317e+04,1.618e+04,3.401e+04,1.234e+05
121.9,8.191e+04,1.514e+04,3.680e+04,1.338e+05
123.5,9.561e+04,1.328e+04,3.586e+04,1.447e+05
125.0,1.430e+05,1.506e+04,3.037e+04,1.884e+05
126.5,2.332e+05,2.250e+04,2.167e+04,2.773e+05
128.1,3.367e+05,3.975e+04,1.463e+04,3.911e+05
129.6,3.620e+05,5.585e+04,1.163e+04,4.295e+05
131.2,2.931e+05,5.609e+04,1.057e+04,3.597e+05
132.7,1.875e+05,4.051e+04,7.457e+03,2.354e+05
134.3,8.545e+04,1.737e+04,1.601e+03,1.044e+05
135.8,5.936e+04,1.251e+04,2.880e+02,7.215e+04
137.3,5.340e+04,1.168e+04,2.105e+02,6.529e+04
138.9,5.181e+04,1.101e+04,2.690e+02,6.310e+04
140.4,5.311e+04,1.104e+04,4.685e+02,6.462e+04
142.0,5.437e+04,1.153e+04,9.757e+02,6.688e+04
143.5,5.885e+04,1.283e+04,1.535e+03,7.321e+04
145.1,6.348e+04,1.411e+04,2.172e+03,7.976e+04
146.6,6.550e+04,1.491e+04,2.789e+03,8.320e+04
148.1,6.591e+04,1.574e+04,3.616e+03,8.526e+04
149.7,6.594e+04,1.672e+04,4.723e+03,8.738e+04
151.2,6.444e+04,1.780e+04,5.910e+03,8.815e+04
152.8,6.028e+04,1.751e+04,6.621e+03,8.441e+04
154.3,5.485e+04,1.709e+04,7.016e+03,7.896e+04
155.9,4.856e+04,1.628e+04,7.076e+03,7.191e+04
157.4,4.109e+04,1.519e+04,6.693e+03,6.297e+04
158.9,3.493e+04,1.378e+04,6.311e+03,5.502e+04
160.5,3.173e+04,1.265e+04,6.363e+03,5.074e+04
162.0,3.125e+04,1.186e+04,6.683e+03,4.979e+04
163.6,3.442e+04,1.154e+04,7.383e+03,5.335e+04
165.1,3.842e+04,1.125e+04,7.874e+03,5.754e+04
166.7,4.239e+04,1.075e+04,8.034e+03,6.117e+04
168.2,4.837e+04,1.051e+04,8.092e+03,6.697e+04
169.7,5.498e+04,1.038e+04,8.088e+03,7.345e+04
171.3,6.218e+04,9.788e+03,7.912e+03,7.988e+04
172.8,7.041e+04,8.962e+03,7.516e+03,8.688e+04
174.4,7.231e+04,7.785e+03,6.672e+03,8.676e+04
175.9,7.062e+04,6.754e+03,5.198e+03,8.257e+04
177.5,6.854e+04,6.125e+03,4.039e+03,7.871e+04
179.0,6.597e+04,6.018e+03,3.586e+03,7.558e+04
180.6,6.348e+04,6.260e+03,3.485e+03,7.323e+04
182.1,6.343e+04,6.462e+03,4.269e+03,7.416e+04
183.6,6.743e+04,5.737e+03,5.179e+03,7.835e+04
185.2,6.978e+04,5.540e+03,6.715e+03,8.203e+04
186.7,6.756e+04,5.196e+03,7.052e+03,7.981e+04
188.3,6.352e+04,4.520e+03,5.998e+03,7.404e+04
189.8,5.803e+04,3.880e+03,4.658e+03,6.657e+04
191.4,5.371e+04,3.566e+03,3.418e+03,6.070e+04
192.9,4.957e+04,3.511e+03,2.937e+03,5.601e+04
194.4,4.507e+04,3.577e+03,3.108e+03,5.176e+04
196.0,4.077e+04,3.626e+03,3.470e+03,4.787e+04
197.5,3.779e+04,3.744e+03,3.892e+03,4.542e+04
199.1,3.269e+04,3.562e+03,3.934e+03,4.019e+04
