freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.723e+02,8.064e+00,5.193e+02,6.996e+02
1.5,1.160e+02,2.011e+01,3.108e+02,4.469e+02
3.0,1.830e+01,1.915e+01,2.742e+01,6.487e+01
4.5,1.925e+01,1.725e+01,2.633e+02,2.998e+02
5.9,1.969e+01,1.778e+01,1.144e+03,1.181e+03
7.4,2.076e+01,1.878e+01,2.043e+03,2.083e+03
8.9,1.856e+01,1.843e+01,3.100e+03,3.137e+03
10.4,1.778e+01,1.935e+01,4.708e+03,4.745e+03
11.9,2.031e+01,2.536e+01,6.879e+03,6.924e+03
13.4,2.603e+01,3.265e+01,5.605e+03,5.664e+03
14.8,2.702e+01,2.425e+01,4.522e+03,4.574e+03
16.3,2.359e+01,2.218e+01,6.030e+03,6.076e+03
17.8,2.297e+01,2.374e+01,8.312e+03,8.358e+03
19.3,2.247e+01,3.013e+01,1.095e+04,1.100e+04
20.8,2.193e+01,3.261e+01,1.396e+04,1.401e+04
22.3,2.613e+01,3.343e+01,1.755e+04,1.761e+04
23.8,3.643e+01,3.382e+01,2.198e+04,2.205e+04
25.2,6.003e+01,3.359e+01,2.706e+04,2.715e+04
26.7,1.191e+02,4.977e+01,3.230e+04,3.247e+04
28.2,2.541e+02,6.604e+01,3.978e+04,4.010e+04
29.7,5.331e+02,6.739e+01,4.977e+04,5.037e+04
31.2,8.948e+02,7.647e+01,6.221e+04,6.318e+04
32.7,1.163e+03,9.626e+01,7.960e+04,8.086e+04
34.2,1.432e+03,1.450e+02,1.031e+05,1.047e+05
35.6,1.944e+03,1.937e+02,1.251e+05,1.272e+05
37.1,2.612e+03,2.384e+02,1.453e+05,1.481e+05
38.6,3.625e+03,2.809e+02,1.848e+05,1.887e+05
40.1,6.931e+03,3.914e+02,2.593e+05,2.667e+05
41.6,1.607e+04,5.831e+02,4.033e+05,4.200e+05
43.1,3.327e+04,1.022e+03,6.126e+05,6.468e+05
44.5,6.745e+04,2.126e+03,9.279e+05,9.974e+05
46.0,1.440e+05,3.708e+03,1.522e+06,1.670e+06
47.5,2.340e+05,6.483e+03,1.994e+06,2.234e+06
49.0,2.966e+05,8.358e+03,2.069e+06,2.374e+06
50.5,3.175e+05,8.869e+03,1.747e+06,2.074e+06
52.0,3.172e+05,9.260e+03,1.337e+06,1.663e+06
53.5,3.103e+05,8.645e+03,9.985e+05,1.317e+06
54.9,3.132e+05,8.249e+03,7.581e+05,1.080e+06
56.4,3.140e+05,8.233e+03,5.856e+05,9.079e+05
57.9,3.208e+05,7.658e+03,4.536e+05,7.821e+05
59.4,3.587e+05,6.151e+03,3.762e+05,7.410e+05
60.9,3.370e+05,4.702e+03,3.250e+05,6.666e+05
62.4,2.631e+05,4.443e+03,2.880e+05,5.555e+05
63.9,2.407e+05,4.847e+03,2.638e+05,5.093e+05
65.3,2.745e+05,5.499e+03,2.372e+05,5.172e+05
66.8,3.214e+05,6.865e+03,2.033e+05,5.316e+05
68.3,3.616e+05,8.048e+03,1.703e+05,5.399e+05
69.8,4.279e+05,1.053e+04,1.490e+05,5.874e+05
71.3,4.714e+05,1.243e+04,1.378e+05,6.217e+05
72.8,4.933e+05,1.228e+04,1.296e+05,6.352e+05
74.2,4.669e+05,9.984e+03,1.205e+05,5.974e+05
75.7,4.054e+05,9.517e+03,1.102e+05,5.252e+05
77.2,3.350e+05,9.325e+03,9.823e+04,4.426e+05
78.7,2.725e+05,6.858e+03,8.722e+04,3.666e+05
80.2,2.172e+05,4.189e+03,7.745e+04,2.988e+05
81.7,1.627e+05,2.641e+03,6.775e+04,2.331e+05
83.2,1.159e+05,1.471e+03,5.861e+04,1.759e+05
84.6,9.050e+04,1.506e+03,5.680e+04,1.488e+05
86.1,7.229e+04,3.051e+03,5.434e+04,1.297e+05
87.6,5.799e+04,5.334e+03,5.064e+04,1.140e+05
89.1,4.796e+04,7.748e+03,4.644e+04,1.021e+05
90.6,4.054e+04,9.361e+03,4.262e+04,9.251e+04
92.1,3.449e+04,8.724e+03,3.942e+04,8.263e+04
93.6,2.919e+04,6.580e+03,3.555e+04,7.132e+04
95.0,2.563e+04,8.993e+03,3.302e+04,6.764e+04
96.5,2.486e+04,1.152e+04,3.514e+04,7.152e+04
98.0,2.261e+04,9.601e+03,3.608e+04,6.829e+04
99.5,1.913e+04,8.517e+03,3.639e+04,6.404e+04
101.0,1.518e+04,7.702e+03,3.726e+04,6.014e+04
102.5,1.171e+04,7.166e+03,3.766e+04,5.654e+04
103.9,8.806e+03,6.774e+03,3.610e+04,5.168e+04
105.4,6.071e+03,5.686e+03,3.195e+04,4.371e+04
106.9,4.604e+03,5.091e+03,3.093e+04,4.062e+04
108.4,3.360e+03,5.517e+03,2.868e+04,3.755e+04
109.9,2.525e+03,6.447e+03,2.800e+04,3.697e+04
111.4,3.472e+03,6.539e+03,3.125e+04,4.126e+04
112.9,6.067e+03,5.872e+03,2.675e+04,3.869e+04
114.3,8.910e+03,4.711e+03,2.101e+04,3.463e+04
115.8,1.132e+04,3.779e+03,1.737e+04,3.247e+04
117.3,1.231e+04,2.974e+03,1.532e+04,3.060e+04
118.8,1.174e+04,2.310e+03,1.380e+04,2.784e+04
120.3,1.175e+04,1.737e+03,1.344e+04,2.693e+04
121.8,1.449e+04,1.888e+03,1.609e+04,3.247e+04
