freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.905e+01,3.902e+02,1.458e+02,5.550e+02
1.5,3.120e+01,2.448e+02,1.080e+02,3.840e+02
3.1,2.623e+01,4.868e+01,4.138e+01,1.163e+02
4.6,2.467e+01,4.129e+02,3.506e+01,4.727e+02
6.2,2.850e+01,1.522e+03,3.462e+01,1.585e+03
7.7,5.574e+01,2.836e+03,3.877e+01,2.930e+03
9.2,1.530e+02,3.414e+03,4.499e+01,3.612e+03
10.8,2.370e+02,3.183e+03,4.014e+01,3.460e+03
12.3,1.290e+02,3.604e+03,4.119e+01,3.774e+03
13.9,4.823e+01,4.904e+03,4.359e+01,4.996e+03
15.4,3.616e+01,7.055e+03,4.050e+01,7.132e+03
16.9,3.671e+01,9.673e+03,4.354e+01,9.753e+03
18.5,4.735e+01,1.236e+04,4.886e+01,1.246e+04
20.0,5.141e+01,1.532e+04,4.810e+01,1.542e+04
21.5,4.446e+01,1.980e+04,4.725e+01,1.989e+04
23.1,4.808e+01,2.566e+04,5.921e+01,2.577e+04
24.6,4.722e+01,3.205e+04,7.087e+01,3.217e+04
26.2,3.841e+01,3.821e+04,9.131e+01,3.834e+04
27.7,4.085e+01,4.442e+04,9.207e+01,4.455e+04
29.2,7.061e+01,5.553e+04,1.374e+02,5.574e+04
30.8,1.010e+02,7.528e+04,3.490e+02,7.573e+04
32.3,1.304e+02,1.038e+05,7.938e+02,1.047e+05
33.9,1.602e+02,1.482e+05,1.879e+03,1.502e+05
35.4,3.183e+02,2.402e+05,7.238e+03,2.478e+05
36.9,1.095e+03,5.005e+05,4.560e+04,5.472e+05
38.5,2.007e+03,7.655e+05,1.114e+05,8.789e+05
40.0,2.640e+03,8.950e+05,1.665e+05,1.064e+06
41.6,3.079e+03,9.487e+05,2.350e+05,1.187e+06
43.1,2.326e+03,6.884e+05,2.489e+05,9.396e+05
44.6,1.671e+03,3.999e+05,2.391e+05,6.406e+05
46.2,2.330e+03,2.953e+05,2.797e+05,5.773e+05
47.7,6.419e+03,2.968e+05,3.363e+05,6.395e+05
49.3,1.446e+04,3.612e+05,3.304e+05,7.060e+05
50.8,2.105e+04,4.079e+05,2.312e+05,6.602e+05
52.3,2.164e+04,3.696e+05,1.531e+05,5.443e+05
53.9,1.975e+04,2.810e+05,1.250e+05,4.257e+05
55.4,1.949e+04,1.986e+05,1.079e+05,3.260e+05
56.9,1.766e+04,1.461e+05,8.807e+04,2.518e+05
58.5,1.504e+04,1.199e+05,6.780e+04,2.028e+05
60.0,1.398e+04,1.064e+05,5.094e+04,1.713e+05
61.6,1.409e+04,9.820e+04,3.342e+04,1.457e+05
63.1,1.307e+04,9.510e+04,1.940e+04,1.276e+05
64.6,9.797e+03,9.107e+04,1.167e+04,1.125e+05
66.2,6.240e+03,8.411e+04,8.030e+03,9.838e+04
67.7,4.044e+03,7.519e+04,6.323e+03,8.556e+04
69.3,2.861e+03,6.860e+04,5.140e+03,7.660e+04
70.8,2.326e+03,6.482e+04,3.502e+03,7.065e+04
72.3,3.790e+03,6.312e+04,2.642e+03,6.955e+04
73.9,8.112e+03,6.359e+04,3.392e+03,7.509e+04
75.4,9.923e+03,6.595e+04,4.624e+03,8.050e+04
77.0,1.220e+04,6.473e+04,3.883e+03,8.081e+04
78.5,1.614e+04,6.127e+04,2.856e+03,8.026e+04
80.0,2.156e+04,5.931e+04,2.568e+03,8.344e+04
81.6,2.775e+04,5.581e+04,3.611e+03,8.718e+04
83.1,2.887e+04,5.081e+04,6.061e+03,8.574e+04
84.6,2.375e+04,4.861e+04,1.055e+04,8.291e+04
86.2,1.472e+04,4.920e+04,1.690e+04,8.082e+04
87.7,6.063e+03,5.137e+04,2.244e+04,7.987e+04
89.3,4.691e+03,5.400e+04,3.038e+04,8.907e+04
90.8,6.307e+03,5.898e+04,4.923e+04,1.145e+05
92.3,8.838e+03,7.026e+04,9.267e+04,1.718e+05
93.9,1.437e+04,9.000e+04,1.659e+05,2.703e+05
95.4,2.956e+04,1.230e+05,2.750e+05,4.276e+05
97.0,5.003e+04,1.639e+05,4.041e+05,6.180e+05
98.5,5.820e+04,1.929e+05,4.870e+05,7.382e+05
100.0,5.510e+04,1.876e+05,4.442e+05,6.869e+05
